pair_id,source,control_id,control_family,control_name,control_desc,n_atoms,atom_keys,atoms_text,passage_id,passage_section,passage_text,covered_atoms,evidence,label_manual,confidence,note,label_prior
M1.1.3__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M1.1.3,M1,Roles and Responsibilities,The entity shall ensure that the responsibilities and authorities of roles for information security are assigned and communicated.,5,"a,b,c,d,e","a: Top management shall assign the responsibility and the authority for:
b: ensuring that the information security implemented in the entity conforms to the requirements of the
c: reporting on the performance of information security to top management Top management shall ensure that
d: an Information Security Manager is appointed to take overall responsibility for the establishment, implementation, maintenance and continual improvement of information security
e: an Information Security Committee is established that oversees and governs the establishment, implementation, maintenance and continual improvement of information security in the entity, and that integrates information security in the entity",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
M1.4.3__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M1.4.3,M1,Documentation,"The entity shall maintain, protect and control documentation of its information security controls and their implementation.",12,"a,b,c,d,e,f,g,h,i,j,k,l","a: The entity shall ensure that
b: documents are approved prior to issue
c: documents are reviewed and updated as necessary
d: changes and the current revision status of documents are identified
e: documents remain legible and readily identifiable
f: documents are available to those who need them, are transferred, and stored in accordance with the procedures applicable to their classification
g: documents are disposed of in accordance with the procedures applicable to their classification
h: documents of external origin are identified
i: the distribution of documents is controlled
j: the unintended use of obsolete documents is prevented, and that up to date versions are available
k: suitable identification is applied to documents if they are retained for any purpose The entity shall document the compliance with the “mandatory” controls in a way that allows unique reference to the requirements of this Regulatio
l: (Sample Compliance Template may be provided by TRA in this regard).",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
M2.2.2__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M2.2.2,M2,Information Security Risk,The entity shall analyze its information security risks.,5,"a,b,c,d,e","a: The entity shall:
b: assess the potential consequences that would result if the identified risks were to materialize by assessing the consequences of losses of confidentiality, integrity or availability
c: assess the realistic likelihood of the occurrence of the identified risks based on the existing controls, identified vulnerabilities and threats
d: determine the levels of risk
e: document the results of the risk analysis",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
M2.3.4__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M2.3.4,M2,Unknown,"has been overlooked. It is important to be aware of that the list of identified controls is very likely to contain sensitive information. Therefore, appropriate care should be taken when making the summary of controls available to both internal and external recipients.",0,,(no sub-controls — judge on description),clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
M2.4.1__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M2.4.1,M2,Information Security Risk,The entity shall plan and document the process for the review and update of the risk assessment and treatment; this shall include planned reviews and updates as well as ad hoc updates if significant changes occur.,11,"b,c,d,e,f,g,h,i,j,k,l","b: The entity’s monitoring and review processes shall encompass all aspects of the risk management process and shall take account of changes in:
c: the entity itself
d: technology used
e: business objectives and processes
f: risk criteria and the risk assessment process
g: assets and consequences of losses of confidentiality, integrity or availability
h: identified threats;
i: identified vulnerabilities
j: effectiveness of the implemented controls
k: external events, such as changes to the legal or regulatory environment, changed contractual obligations, and changes in social climate
l: the entity shall monitor security incidents (see",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
M5.2.7__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M5.2.7,M5,Liability to the Information,"The entity shall ensure that liability issues and remediation are clarified, understood and approved by all members of an information sharing community, to address situations in which information is intentionally or unintentionally disclosed.",4,"a,b,c,d","a: The entity shall:
b: identify any liability issues and remediation requirements regarding unauthorized disclosure of information in all information sharing communities in which the entity participates
c: define specific remediation procedures for each relevant information sharing community
d: communicate to the relevant information sharing community any issues identified regarding remediation procedures",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
M6.2.2__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,M6.2.2,M6,Internal Audits,The entity shall plan and conduct internal audits of the information security in place.,12,"a,b,c,d,e,f,g,h,i,j,k,l","a: The entity shall:
b: define the audit criteria, scope and audit plan for each audit
c: select auditors and conduct audits to ensure objectivity and the impartiality of the audit process
d: ensure that the results of the audits are reported to relevant management
e: document the audit program and the audit results
f: ensure that the internal audit is effectively implemented and maintained The internal audits shall:
g: be planned, established, implemented and maintained, including the frequency, methods, responsibilities, planning requirements, and reporting of the internal audits
h: take account of the importance of the processes concerned and the results of previous audits
i: ensure that entity’s information security conforms to:
j: the entity’s own requirements for information security
k: the requirements of this Regulation
l: any applicable requirements from the entity’s sector, national or regulatory environment",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
T1.4.2__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,T1.4.2,T1,Disposal of Media,The entity shall dispose media when no longer needed.,5,"a,b,c,d,e","a: The entity shall:
b: establish procedures for secure disposal of media containing confidential information based on the sensitivity of that information
c: destroy media, both paper and digital, when no longer serving the entity
d: keep records for disposed media (containing or used to contain confidential informatio
e: when no longer needed",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
T2.2.2__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,T2.2.2,T2,Physical Entry Controls,The entity shall protect secure areas by appropriate entry controls to ensure that only authorized personnel are allowed access.,6,"a,b,c,d,e,f","a: The entity shall:
b: authenticate all persons accessing secure areas
c: document the access to secure areas
d: ensure that all persons wear some form of visible identification within the entity’s premises
e: update and monitor access logs
f: in case of contractors/third parties, they shall be always escorted, unless the area is explicitly designated for them with no escort requirement",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
T3.2.1__clientname-IS-POL-00-Asset Management Policy 6_passage_1,retrieval,T3.2.1,T3,"by developing a series of images and secure storage servers for hosting these standard images. Commercial and/or free configuration management tools can then be employed to measure the settings operating system and applications of managed machines to look for deviations from these image configurations used by the entity. Some configuration management tools require that an agent be installed on each managed system, while others remotely log in to each managed machine using administrator credentials. Either approach or a combination of the two approaches can provide the information needed for this control. Relevant Threats and • Illegal processing of data Vulnerabilities • Abuse of system access/privileges • Equipment malfunction T3.2.1 Common Systems",The entity shall develop recommended configuration settings for common information technology products.,3,"a,b,c","a: The guidelines shall:
b: identify common information technology products used within the entity
c: define minimum security configurations to be employed in each product",clientname-IS-POL-00-Asset Management Policy 6_passage_1,Passage 1,"<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an
<CLIENT>-IS-POL-00X

<!-- image -->

Abstract

This Policy defines the requirements for secure management of the assets owned and used by <CLIENT>, throughout its lifecycle.

**STATEMENT OF CONFIDENTIALITY**

All information in this document is <CLIENT> PRIVILEGED and for INTERNAL USE ONLY.

The information in this document may contain <CLIENT> proprietary trade secrets and confidential information, the disclosure of which could substantially benefit competitors. As a result, this document should not be disclosed, used or duplicated – in whole or in part without the explicit authorization of <CLIENT> management.

The information is intended solely for the use of authorized recipients. If you are not the intended recipient, you are prohibited from reading, using, disseminating, distributing and copying this document.

In accessing the document, the reader warrants that the information contained herein shall only be treated for internal use. No content of an",,,,,,
