pair_id,incident_id,attack_type,attack_category,outcome_summary,observed_behaviour,atom_full_id,standard,control_id,control_name,atom_key,atom_claim,label_hint,label,evidence_note
INC-013-A__HIPAA.164.312.b.a,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",HIPAA.164.312.b.a,HIPAA,HIPAA.164.312.b,Audit Controls — Standard,a,The covered entity shall implement hardware mechanisms that record activity in information systems containing ePHI.,Y,,
INC-013-A__HIPAA.164.312.b.d,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",HIPAA.164.312.b.d,HIPAA,HIPAA.164.312.b,Audit Controls — Standard,d,The covered entity shall implement mechanisms that examine activity in information systems containing ePHI.,Y,,
INC-013-A__HIPAA.164.312.c.1.e,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",HIPAA.164.312.c.1.e,HIPAA,HIPAA.164.312.c.1,Integrity — Standard,e,The covered entity shall implement electronic mechanisms to corroborate that ePHI has not been altered in an unauthorized manner.,Y,,
INC-013-A__ISO.12.4.1.b,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",ISO.12.4.1.b,ISO 27002,ISO.12.4.1,Event Logging,b,The organization shall produce event logs recording exceptions.,Y,,
INC-013-A__ISO.12.4.1.d,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",ISO.12.4.1.d,ISO 27002,ISO.12.4.1,Event Logging,d,The organization shall produce event logs recording information security events.,Y,,
INC-013-A__ISO.12.4.2.b,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",ISO.12.4.2.b,ISO 27002,ISO.12.4.2,Protection of Log Information,b,The organization shall protect log information against tampering.,Y,,
INC-013-A__ISO.12.4.4.a,INC-013-A,MQTT-Malformed_Data,MQTT,"No ePHI was exposed or altered. The broker's schema validation layer rejected all 5,130 malformed flows before forwarding. Infusion pump dosing continued from the last valid received parameters throug…","At 14:22 UTC, the hospital MQTT broker began receiving a sustained stream of malformed PUBLISH packets on the topic /icu/pump/dosage. Network flow analysis later confirmed 5,130 anomalous TCP flows during the 8-minute window, with a peak packet rate of 33,147 packets per second and individual payload sizes reaching 1,514 bytes — exceeding the broker's configured maximum of 512 bytes for clinical telemetry topics. The broker's schema validation module flagged each oversized payload as a protocol …",ISO.12.4.4.a,ISO 27002,ISO.12.4.4,Clock Synchronisation,a,The organization shall synchronise the clocks of all relevant information processing systems to a single reference time source.,Y,,
INC-013-B__HIPAA.164.312.b.a,INC-013-B,MQTT-Malformed_Data,MQTT,"ePHI was not exfiltrated — the malformed CONNECT sessions did not grant the attacker subscriber access to any clinical topic. However, the 2-minute broker outage constitutes a partial failure: 14 devi…","At 02:11 UTC during night shift, the ward MQTT broker received a sequence of malformed CONNECT packets from an external IP that had bypassed the VPN gateway. Flow records show 312 flows over a 104-second window at a mean packet rate of 308 packets per second. Payload sizes were within normal bounds (mean 646 bytes) but the CONNECT packet flags were set incorrectly — the Clean Session flag was absent and the Protocol Name field contained non-UTF-8 bytes, causing the broker to log MQTT protocol pa…",HIPAA.164.312.b.a,HIPAA,HIPAA.164.312.b,Audit Controls — Standard,a,The covered entity shall implement hardware mechanisms that record activity in information systems containing ePHI.,Y,,
INC-013-B__HIPAA.164.312.c.1.a,INC-013-B,MQTT-Malformed_Data,MQTT,"ePHI was not exfiltrated — the malformed CONNECT sessions did not grant the attacker subscriber access to any clinical topic. However, the 2-minute broker outage constitutes a partial failure: 14 devi…","At 02:11 UTC during night shift, the ward MQTT broker received a sequence of malformed CONNECT packets from an external IP that had bypassed the VPN gateway. Flow records show 312 flows over a 104-second window at a mean packet rate of 308 packets per second. Payload sizes were within normal bounds (mean 646 bytes) but the CONNECT packet flags were set incorrectly — the Clean Session flag was absent and the Protocol Name field contained non-UTF-8 bytes, causing the broker to log MQTT protocol pa…",HIPAA.164.312.c.1.a,HIPAA,HIPAA.164.312.c.1,Integrity — Standard,a,The covered entity shall implement policies to protect ePHI from improper alteration.,Y,,
INC-013-B__HIPAA.164.312.d.a,INC-013-B,MQTT-Malformed_Data,MQTT,"ePHI was not exfiltrated — the malformed CONNECT sessions did not grant the attacker subscriber access to any clinical topic. However, the 2-minute broker outage constitutes a partial failure: 14 devi…","At 02:11 UTC during night shift, the ward MQTT broker received a sequence of malformed CONNECT packets from an external IP that had bypassed the VPN gateway. Flow records show 312 flows over a 104-second window at a mean packet rate of 308 packets per second. Payload sizes were within normal bounds (mean 646 bytes) but the CONNECT packet flags were set incorrectly — the Clean Session flag was absent and the Protocol Name field contained non-UTF-8 bytes, causing the broker to log MQTT protocol pa…",HIPAA.164.312.d.a,HIPAA,HIPAA.164.312.d,Person or Entity Authentication — Standard,a,The covered entity shall implement procedures to verify that a person seeking access to ePHI is the one claimed.,Y,,
