confidence,control_id,passage_id,policy,human_label,judge_label,judge_atoms,judge_evidence,decision
HIGH,M2.1.1,clientname-IS-POL-00-Information Risk Management Policy v1.2 1_passage_7,Information Risk Management Policy,Not Addressed,Partially Addressed,b,5.1.4 establish and implement a plan for communicating risk information and consulting key stakeholders during all stages,Partially Addressed
HIGH,M2.1.1,clientname-IS-POL-00-Information Risk Management Policy v1.2 2_passage_7,Information Risk Management Policy,Not Addressed,Partially Addressed,b,5.1.4 plan for communicating risk information and consulting key stakeholders during all stages,Partially Addressed
HIGH,M2.1.1,clientname-IS-POL-00-Information Risk Management Policy v1.2 3_passage_7,Information Risk Management Policy,Not Addressed,Partially Addressed,b,5.1.4 plan for communicating risk information and consulting key stakeholders during all stages,Partially Addressed
HIGH,M3.2.1,clientname-IS-POL-00-Security Awareness and Training Policy v2.0 UAE IA Mapping_passage_7,Security Awareness and Training Policy,Not Addressed,Partially Addressed,"a,b,d,g",5.1.1 develop and formalize awareness/training program; 5.1.6-5.1.7 provide training; 5.1.4 review/update on results,Partially Addressed
HIGH,M5.2.1,clientname-IS-POL-00-Information Security Compliance Policy v2.0 UAE IA Mapping 2_passage_7,Information Security Compliance Policy,Not Addressed,Partially Addressed,"b,d","5.1 Identify/define/establish compliance requirements; define+implement controls, assign responsibilities",Partially Addressed
HIGH,M5.2.2,clientname-IS-POL-00-Information Security Compliance Policy v2.0 UAE IA Mapping 2_passage_8,Information Security Compliance Policy,Not Addressed,Partially Addressed,"c,d,e","5.2 IPR: identify IPR assets, system requirements, controls (reputable sources, license verification, awareness)",Partially Addressed
HIGH,M5.2.3,clientname-IS-POL-00-Information Security Compliance Policy v2.0 UAE IA Mapping 2_passage_9,Information Security Compliance Policy,Not Addressed,Partially Addressed,"b,d",5.3 define/categorize records + retention; controls to protect records from loss/deterioration,Partially Addressed
HIGH,M5.4.1,clientname-IS-POL-00-Vulnerability Management Policy v1.2 (V_A)_passage_7,Vulnerability Management Policy,Not Addressed,Partially Addressed,"b,c,d","6.1 routine VA scans (annual/quarterly), reviewed by IS team, remediation reporting",Partially Addressed
HIGH,T1.3.2,clientname-IS-POL-00-Asset Management Policy 6_passage_9,Asset Management Policy,Not Addressed,Partially Addressed,"b,c",5.3 labeling procedures for physical/electronic assets + apply labels on outputs,Partially Addressed
HIGH,T1.3.2,clientname-IS-POL-00-Asset Management Policy_passage_9,Asset Management Policy,Not Addressed,Partially Addressed,"b,c",5.3 Asset Labelling: develop labeling procedures + apply labels on outputs,Partially Addressed
